Ridge_MAE,Ridge_RMSE,Ridge_R2,XGBoost_MAE,XGBoost_RMSE,XGBoost_R2,CatBoost_MAE,CatBoost_RMSE,CatBoost_R2,LightGBM_MAE,LightGBM_RMSE,LightGBM_R2
2.6438751631849184,3.9874226336229226,0.4796571511500123,1.8922441740257248,3.4437099504452995,0.6118870070896805,1.9674454752497192,3.4966037684863873,0.5998729671912737,1.8863755063195202,3.4458663502368942,0.6114007937763616
2.7040572265713982,4.098764549598923,0.47560609239580287,1.9391542617710635,3.551216050572608,0.6063539620455001,2.000941231831956,3.5673740591437095,0.6027636390901605,1.9232843786471767,3.532594513765946,0.6104714672170419
2.652103534533111,4.028734825477945,0.48169027482233095,1.8693707723355706,3.424802257525503,0.6254386217076567,1.9416658946054899,3.461625061052544,0.6173409006763072,1.86100272954419,3.432061840070793,0.623849016847682
2.644281427073851,3.968921202330583,0.4898351401132266,1.878437774665044,3.425194887264088,0.6200415021816817,1.9512355652862547,3.4683108256769133,0.6104155528668971,1.8753965539847017,3.4308502114626043,0.6187857707646195
2.6533762634021296,4.018872216872676,0.4886958059169896,1.8791543353554698,3.420361375005491,0.6296477847953457,1.9646122650980489,3.455061367244009,0.6220951281104028,1.888230270500747,3.4264405082879676,0.628330133824248
2.6650452604389527,4.039640038667318,0.4859284480432471,1.9453253633695162,3.5465484546897357,0.6037675582884767,2.0076114159260943,3.570406852156707,0.5984185441832117,1.9378482991417032,3.550723336665289,0.6028341452253554
2.670830524193114,4.085911348602625,0.47610456979670357,1.8888475342822904,3.4913019454148273,0.6174910934931209,1.956183695132235,3.5117238679900664,0.6130031323969258,1.8799133878457923,3.4630058111715316,0.6236662468046139
2.6787639607482747,4.026821437741649,0.4767895937965575,1.9044690597587193,3.479437832970114,0.609366223842451,1.9755033431064264,3.5061257173945934,0.6033507862539104,1.9048000168717274,3.469057987732565,0.6116934216978731
2.6732581482759,4.020954244356954,0.4838312153907177,1.9295943727474043,3.4628979804759106,0.6171639127965802,1.9948594399147064,3.506828061976419,0.607389038270457,1.9201388516903029,3.4670142732673868,0.6162532292949103
2.615582908242917,3.9235570686629475,0.494558057006508,1.835864927153768,3.3567601995676726,0.6300423903578044,1.9212318283295404,3.3951844151728734,0.6215242417591382,1.8416388907670116,3.3654513091603686,0.6281241689668713
2.66018065483428,4.02604519901098,0.4827973024219083,1.8723958709248243,3.4425814897010314,0.6218431711324046,1.9485898001766553,3.4796161502877543,0.61366312312252,1.8647583259901928,3.4418075697669197,0.6220131773980221
2.647436432296216,4.041055315551934,0.4725705351910986,1.885514878152131,3.457972112550967,0.6137951081787936,1.959348107559686,3.5007498359851543,0.6041807134316758,1.8772959591779441,3.445123133794694,0.6166598617807713
2.686576819123732,4.0260261970951055,0.4902488844372923,1.9214009983499234,3.479758419734384,0.6191945278051847,1.9788614916880047,3.494453011098145,0.6159715477742363,1.9096174955868535,3.4741225417842245,0.6204270473743456
2.6433005801292238,3.9751096566771658,0.48910578313938025,1.8965912615415417,3.485341363425835,0.6072434825592883,1.983287792444157,3.5193877147758346,0.5995327670663693,1.8998741643809347,3.488808817874918,0.6064616120738333
2.656719204789721,4.02885515918058,0.4820577416311137,1.9070613306999422,3.433992837703082,0.6237150856865996,1.9836876286720304,3.475522402451822,0.614558722810828,1.9034311388745215,3.440275173244653,0.6223370336223337
