feature,importance
kw_sw,6
tfidf_w47,6
tfidf_c177,6
tfidf_c77,5
tfidf_c170,4
tfidf_w96,4
tfidf_c4,4
tfidf_c178,3
tfidf_c79,3
tfidf_c117,2
tfidf_w87,2
tfidf_w86,2
tfidf_c128,2
tfidf_w12,1
tfidf_c119,1
tfidf_c118,1
tfidf_c129,1
tfidf_w39,1
tfidf_c190,1
tfidf_w53,0
tfidf_c130,0
tfidf_w14,0
tfidf_w13,0
tfidf_w95,0
tfidf_w94,0
