model,MAE,RMSE,R2
Linear Regression (수치만),3.26073596904323,5.7853097074473245,0.3335127216659
Ridge (전체 피처),3.251743015174525,5.688734862425425,0.3555784969080666
LightGBM (수치만),2.684874604030873,5.235435111857315,0.4541865914579479
LightGBM (전체 피처),2.6115757467731195,5.028606205263861,0.4964600972083101
LightGBM 개선 (이상치제거+추가피처),2.27435144101825,3.744209704620266,0.54119791788189
LightGBM Optuna 튜닝,2.2428964114593737,3.722915519296917,0.5464017049185841
5-Fold CV 앙상블,2.27012342734546,3.76563051818946,0.5466486195799675
